name,free_returns,items_sold,status=,shipping,price_sold
Puma Tottenham Hotspur men away shirt jersey size M medium,False,,Pre-Owned,750,2100
Nike Tottenham Hotspur 2018/19 Home Soccer Jersey Mens Sz S *919005-101,False,,Brand New,0,5495
Nike Tottenham Hotspur 2020-2021 Home Vaporknit Jersey CD4196 101 Size Large,True,,Brand New,0,9997
tottenham hotspur Shirt 2XL XXL,False,,Pre-Owned,793,1200
Nike Tottenham Hotspur Women’s Football/ Soccer medium,False,,Brand New,0,2699
MEN'S FC TOTTENHAM HOTSPUR SPURS 2010/2011 RAIN JACKET SOCCER FOOTBALL SIZE L,False,,Pre-Owned,1500,5039
,False,,,0,
NWT$75 Nike breath Tottenham Hotspur 20/21 Away Youth Jersey Green Size M cd4520,False,,Brand New,0,3899
Nike 2021-2022 Tottenham Jersey Kane #10 Size Large,False,,Brand New,0,7999
Tottenham Hotspur FC Official Soccer Boys Retro Track Jacket - Navy 12/13,True,,Brand New,0,3999
"Tottenham Hotspur 2015/2016 Blue Youth XL, Under Armour",False,,Pre-Owned,550,1900
Tottenham Hotspur Rope Hat,False,,Brand New,0,1999
TOTTENHAM HOTSPUR FC Nike Men Medium Football Anthem Jacket Training 2018/2019,True,,Pre-Owned,999,3999
Authentic 2014-15 Tottenham Hotspur Jersey - Under Armour - XL,False,,Pre-Owned,0,4500
Nike Vaporknit Tottenham Hotspur 2020-2021 Home Soccer Jersey 2XL CD4196-101,False,,Brand New,0,7999
TOTTENHAM HOTSPUR X Realmadrid X FC BARCELONA Desk CALENDAR 2021 Best Eleven,False,,Brand New,0,2999
OFFICIALLY LICENSED HARRY KANE #10 TOTTENHAM HOTSPUR ADULT T-SHIRT SM-XXL,True,,Brand New,295,3495
Tottenham Hotspur Nike Standard Fit Youth Kids Yellow/Navy Blue Jersey,False,,Brand New,0,3999
Nike Vaporknit Tottenham Hotspur 20/21 3rd Match Jersey CK7660 720 Mens size XL,True,,Brand New,0,7998
$80 Mens Nike Tottenham Hotspur Drill Training 1/4 Zip Pullover 2017/18 Medium M,False,,Brand New,625,6000
FC TOTTENHAM HOTSPUR 20142015 AWAY FOOTBALL JERSEY CAMISETA SOCCER SHIRT #30,False,,Pre-Owned,0,4900
FC TOTTENHAM HOTSPUR 2019 2020 HOME JERSEY SHIRT SOCCER FOOTBALL ,False,,Brand New,0,9000
FC TOTTENHAM HOTSPUR 2019 2020 HOME JERSEY SHIRT SOCCER FOOTBALL ,False,,Pre-Owned,0,4500
NIKE TOTTENHAM HOTSPUR 2018/19 TRAINING SHIRT KIDS NWT SIZE XS,False,,Brand New,550,5999
Under Armour  Men’s Medium Black Tottenham Hotspur YEDLIN Football Soccer Jersey,False,,Pre-Owned,0,4999
Nike Tottenham Hotspur Spurs Morgan White Player Tee T-Shirt Men's Size XL NEW !,False,,Brand New,0,2900
Nike 20/21 Tottenham Hotspur Stadium Air Max Soccer Jersey Medium M CW1308-090,False,,Brand New,510,8000
Tottenham Hotspur yellow Youth size XL soccer pullover top,False,,Pre-Owned,498,3500
Nike Tottenham Hotspur AIA Blue Stadium Third Jersey 19/20 Men’s Small,False,,Pre-Owned,0,4999
🔥$90 NIKE WOMENS TOTTENHAM HOTSPURS 2020/21 STADIUM SOCCER JERSEY SZ M CD4415,False,,Brand New,0,4995
